graduate_id,gender,jurisdiction,course,course_type,cohort
297,Female,Buenos Aires Province,FullStack Java,4.0,2021-2
298,Female,CABA,UX/UI Design,4.0,2021-1
299,Male,Buenos Aires Province,UX/UI Design,4.0,2021-2
300,Male,CABA,UX/UI Design,Advanced,2020-2
301,Female,CABA,UX/UI Design,4.0,2021-1
302,Male,Buenos Aires Province,FullStack JavaScript / Node.js,4.0,2022-1
303,Female,Buenos Aires Province,FullStack Python,4.0,2021-1
304,Female,Buenos Aires Province,FullStack Java,4.0,2020-2
305,Male,Buenos Aires Province,Big Data,4.0,2020-2
306,Female,Buenos Aires Province,FullStack Java,4.0,2022-1
307,Male,Buenos Aires Province,FullStack PHP,4.0,2021-1
308,Female,Buenos Aires Province,FullStack JavaScript / Node.js,4.0,2021-2
309,Female,Other Provinces,Big Data,Initial Programming,2021-2
310,Male,Buenos Aires Province,FullStack Python,4.0,2021-2
311,Other,Buenos Aires Province,Big Data,4.0,2020-2
312,Male,Buenos Aires Province,Testing QA,4.0,2022-1
313,Male,Buenos Aires Province,FullStack Java,4.0,2021-2
314,Female,Other Provinces,FullStack Java,4.0,2022-1
315,Female,Buenos Aires Province,UX/UI Design,Advanced,2021-1
316,Male,Buenos Aires Province,UX/UI Design,Advanced,2021-2
317,Male,Buenos Aires Province,Testing QA,Advanced,2020-2
318,Female,CABA,Big Data,4.0,2022-1
319,Female,Buenos Aires Province,FullStack Java,4.0,2021-1
320,Female,Buenos Aires Province,Big Data,4.0,2021-1
321,Male,Buenos Aires Province,FullStack Python,Advanced,2020-2
322,Female,Buenos Aires Province,FullStack JavaScript / Node.js,4.0,2021-1
323,Male,Buenos Aires Province,FullStack Java,Initial Programming,2021-2
324,Female,Other Provinces,FullStack Python,4.0,2022-1
325,Male,CABA,FullStack JavaScript / Node.js,4.0,2021-2
326,Female,Buenos Aires Province,FullStack Java,Initial Programming,2020-2
327,Female,CABA,Big Data,4.0,2021-2
328,Male,CABA,FullStack JavaScript / Node.js,Initial Programming,2020-2
329,Male,Other Provinces,FullStack PHP,4.0,2022-1
330,Female,Buenos Aires Province,UX/UI Design,4.0,2022-1
331,Female,Buenos Aires Province,FullStack JavaScript / Node.js,4.0,2021-2
332,Female,CABA,FullStack PHP,4.0,2021-2
333,Male,CABA,FullStack JavaScript / Node.js,4.0,2021-1
334,Male,CABA,Big Data,4.0,2022-1
335,Female,Buenos Aires Province,FullStack JavaScript / Node.js,4.0,2020-2
336,Male,Other Provinces,FullStack JavaScript / Node.js,4.0,2022-1
337,Female,Other Provinces,Testing QA,4.0,2020-2
338,Male,CABA,FullStack Python,4.0,2022-1
339,Female,Buenos Aires Province,FullStack Java,4.0,2021-2
340,Male,Buenos Aires Province,FullStack Python,Advanced,2020-2
341,Female,Other Provinces,FullStack Java,4.0,2020-2
342,Male,Buenos Aires Province,FullStack Java,4.0,2021-1
343,Female,CABA,FullStack JavaScript / Node.js,4.0,2021-1
344,Female,Buenos Aires Province,Big Data,4.0,2021-2
345,Male,Other Provinces,FullStack JavaScript / Node.js,4.0,2021-1
346,Female,CABA,FullStack Python,4.0,2021-1
347,Male,CABA,FullStack PHP,Advanced,2021-2
348,Male,Other Provinces,Testing QA,4.0,2022-1
349,Other,CABA,FullStack Java,4.0,2020-2
350,Female,Buenos Aires Province,FullStack JavaScript / Node.js,4.0,2020-2
351,Female,Buenos Aires Province,FullStack PHP,Initial Programming,2022-1
352,Male,Other Provinces,FullStack PHP,4.0,2021-1
353,Male,CABA,Big Data,4.0,2020-2
354,Male,Buenos Aires Province,Big Data,4.0,2022-1
355,Male,Buenos Aires Province,UX/UI Design,4.0,2021-1
356,Female,Buenos Aires Province,FullStack Java,Initial Programming,2020-2
357,Female,CABA,FullStack PHP,Initial Programming,2020-2
358,Male,CABA,FullStack JavaScript / Node.js,4.0,2021-1
359,Female,CABA,FullStack Java,4.0,2022-1
360,Female,Other Provinces,FullStack PHP,4.0,2021-1
361,Female,Other Provinces,UX/UI Design,4.0,2020-2
362,Male,CABA,Big Data,Initial Programming,2021-2
363,Female,Buenos Aires Province,FullStack Python,4.0,2021-2
364,Male,Buenos Aires Province,FullStack PHP,4.0,2020-2
365,Female,Buenos Aires Province,FullStack Python,4.0,2022-1
366,Male,CABA,FullStack JavaScript / Node.js,Initial Programming,2020-2
367,Female,CABA,Big Data,4.0,2021-2
368,Female,Other Provinces,Testing QA,Advanced,2022-1
369,Male,CABA,FullStack Python,4.0,2021-2
370,Male,Buenos Aires Province,UX/UI Design,4.0,2020-2
371,Male,Buenos Aires Province,FullStack PHP,4.0,2020-2
372,Male,Buenos Aires Province,FullStack Java,4.0,2022-1
373,Female,CABA,Big Data,4.0,2020-2
374,Male,Other Provinces,FullStack PHP,Initial Programming,2021-1
375,Female,Buenos Aires Province,UX/UI Design,4.0,2021-2
376,Female,CABA,UX/UI Design,4.0,2022-1
377,Male,CABA,Big Data,4.0,2020-2
378,Male,CABA,FullStack JavaScript / Node.js,4.0,2021-2
379,Female,Other Provinces,Testing QA,4.0,2022-1
380,Female,Buenos Aires Province,FullStack PHP,4.0,2021-1
381,Female,CABA,FullStack PHP,Initial Programming,2020-2
382,Female,CABA,FullStack JavaScript / Node.js,4.0,2021-2
383,Female,Buenos Aires Province,FullStack Java,4.0,2021-1
384,Male,CABA,Big Data,Initial Programming,2021-1
385,Male,Other Provinces,FullStack JavaScript / Node.js,4.0,2021-1
386,Female,Buenos Aires Province,Big Data,4.0,2022-1
387,Female,Other Provinces,FullStack JavaScript / Node.js,Advanced,2021-1
388,Female,CABA,FullStack Python,4.0,2021-1
389,Male,Other Provinces,UX/UI Design,Advanced,2021-2
390,Female,Buenos Aires Province,Big Data,Initial Programming,2021-2
391,Female,Other Provinces,FullStack JavaScript / Node.js,4.0,2022-1
392,Female,CABA,FullStack Java,Initial Programming,2021-1
393,Male,Buenos Aires Province,FullStack PHP,4.0,2021-1
394,Male,Buenos Aires Province,UX/UI Design,Initial Programming,2020-2
395,Female,Buenos Aires Province,Testing QA,4.0,2021-1
396,Male,Other Provinces,FullStack Java,4.0,2020-2
397,Male,Buenos Aires Province,UX/UI Design,4.0,2021-1
398,Female,Buenos Aires Province,FullStack PHP,4.0,2021-1
399,Male,Other Provinces,FullStack JavaScript / Node.js,4.0,2020-2
400,Female,Buenos Aires Province,Testing QA,4.0,2020-2
401,Female,Buenos Aires Province,Testing QA,4.0,2020-2
402,Female,CABA,FullStack PHP,4.0,2020-2
403,Male,Buenos Aires Province,UX/UI Design,4.0,2021-1
404,Female,CABA,Big Data,4.0,2020-2
405,Female,CABA,FullStack Python,4.0,2022-1
406,Male,Buenos Aires Province,Big Data,4.0,2022-1
407,Female,CABA,FullStack Python,4.0,2022-1
408,Female,Other Provinces,FullStack Python,4.0,2022-1
409,Male,CABA,FullStack Python,4.0,2020-2
410,Female,Buenos Aires Province,FullStack PHP,4.0,2020-2
411,Female,Buenos Aires Province,FullStack Python,4.0,2021-1
412,Male,CABA,FullStack Java,4.0,2020-2
413,Male,Other Provinces,FullStack Java,Initial Programming,2020-2
414,Female,Buenos Aires Province,FullStack PHP,4.0,2020-2
415,Female,CABA,FullStack PHP,4.0,2020-2
416,Male,Buenos Aires Province,UX/UI Design,Advanced,2021-2
417,Female,CABA,FullStack JavaScript / Node.js,4.0,2021-1
418,Male,Buenos Aires Province,FullStack Java,4.0,2021-2
419,Male,Buenos Aires Province,FullStack JavaScript / Node.js,4.0,2021-2
420,Female,Buenos Aires Province,FullStack JavaScript / Node.js,Initial Programming,2022-1
421,Male,Other Provinces,FullStack JavaScript / Node.js,4.0,2021-2
422,Female,Buenos Aires Province,FullStack Python,Advanced,2020-2
423,Female,Other Provinces,Big Data,4.0,2020-2
424,Female,CABA,Big Data,4.0,2020-2
425,Female,CABA,UX/UI Design,4.0,2022-1
426,Female,CABA,FullStack Python,Advanced,2020-2
427,Female,Other Provinces,FullStack PHP,4.0,2021-1
428,Female,Buenos Aires Province,FullStack Python,4.0,2020-2
429,Female,CABA,Testing QA,Initial Programming,2021-1
430,Male,Buenos Aires Province,FullStack Java,4.0,2022-1
431,Male,Buenos Aires Province,Testing QA,4.0,2021-2
432,Male,Buenos Aires Province,FullStack PHP,Initial Programming,2022-1
433,Female,Buenos Aires Province,Testing QA,Initial Programming,2021-2
434,Female,CABA,FullStack JavaScript / Node.js,4.0,2021-2
435,Other,Buenos Aires Province,Big Data,4.0,2021-1
436,Female,Buenos Aires Province,UX/UI Design,4.0,2021-1
437,Male,CABA,UX/UI Design,Advanced,2021-1
438,Female,CABA,FullStack Java,4.0,2021-1
439,Female,Buenos Aires Province,UX/UI Design,4.0,2020-2
440,Male,Other Provinces,UX/UI Design,4.0,2021-2
441,Female,Other Provinces,FullStack PHP,4.0,2021-2
442,Female,CABA,FullStack JavaScript / Node.js,Initial Programming,2021-1
443,Male,Other Provinces,UX/UI Design,4.0,2020-2
444,Other,Buenos Aires Province,FullStack PHP,4.0,2021-2
445,Male,CABA,FullStack Java,Advanced,2021-1
446,Male,Buenos Aires Province,FullStack JavaScript / Node.js,4.0,2021-2
447,Male,Buenos Aires Province,Big Data,4.0,2021-1
448,Male,CABA,Big Data,4.0,2022-1
449,Male,CABA,FullStack Java,4.0,2020-2
450,Female,Buenos Aires Province,UX/UI Design,4.0,2021-1
451,Male,Buenos Aires Province,UX/UI Design,4.0,2020-2
452,Female,Other Provinces,FullStack Python,4.0,2020-2
453,Other,Buenos Aires Province,FullStack JavaScript / Node.js,4.0,2021-2
454,Male,Buenos Aires Province,Big Data,Advanced,2021-2
455,Female,Buenos Aires Province,FullStack JavaScript / Node.js,4.0,2021-2
456,Female,CABA,FullStack Java,4.0,2021-2
457,Female,Buenos Aires Province,FullStack PHP,4.0,2020-2
458,Female,Other Provinces,FullStack Python,4.0,2022-1
459,Male,CABA,Testing QA,4.0,2022-1
460,Male,Buenos Aires Province,Testing QA,Initial Programming,2020-2
461,Female,CABA,Testing QA,4.0,2021-2
462,Female,Other Provinces,Testing QA,4.0,2022-1
463,Female,Buenos Aires Province,FullStack Java,4.0,2022-1
464,Female,Buenos Aires Province,FullStack PHP,4.0,2021-1
465,Female,Other Provinces,FullStack Java,4.0,2022-1
