respondent_id,graduate_id,age_group,highest_education_level,programming_level_before,programming_level_after,employment_before,employment_after,employment_type_before,employment_type_after,it_before,it_after,programmer_after,continued_studying,post_training_study_type,course,cohort,improved_job_profile,interested_job_opportunities
14,2701,25-34,Tertiary Incomplete,No Programming Knowledge,Trainee,Unemployed and Looking for Work,Unemployed and Looking for Work,Self-employed,Informal Worker,False,False,False,False,,FullStack PHP,2021-2,A Lot,False
15,2389,25-34,Secondary Incomplete,Trainee,Trainee,Employed,Employed,Employee,Own Business,True,False,False,True,Free Annual Course,Big Data,2021-2,A Lot,True
16,543,25-34,Tertiary Incomplete,Trainee,Junior,Employed,Employed,Informal Worker,Employee,False,True,False,True,Free Quarterly Course;Free University Education,UX/UI Design,2021-1,Quite a Bit,True
17,835,35-44,Secondary Complete,No Programming Knowledge,Semi Senior,Unemployed and Looking for Work,Unemployed and Looking for Work,Informal Worker,Own Business,False,False,False,True,Free Tertiary Education;Free Quarterly Course;Paid Quarterly Course,FullStack JavaScript / Node.js,2021-1,Not at All,True
18,1091,35-44,Tertiary Complete,Trainee,Junior,Employed,Employed,Self-employed,Self-employed,False,True,True,False,,FullStack JavaScript / Node.js,2021-2,Quite a Bit,False
19,2973,Under 25,Secondary Complete,No Programming Knowledge,Junior,Employed,Employed,Own Business,Self-employed,True,True,True,False,,FullStack Python,2021-1,A Lot,True
20,1782,35-44,University Complete,Semi Senior,Semi Senior,Employed,Employed,Self-employed,Employee,False,False,False,False,,FullStack Java,2021-1,A Little,True
21,1902,25-34,Tertiary Incomplete,Semi Senior,Trainee,Employed,Employed,Informal Worker,Informal Worker,False,True,True,False,,FullStack JavaScript / Node.js,2022-1,Not at All,False
22,677,25-34,University Incomplete,Junior,Junior,Employed,Employed,Own Business,Employee,True,True,True,True,Paid Tertiary Education;Paid University Education;Paid Annual Course,FullStack PHP,2020-2,A Lot,True
23,1432,25-34,Secondary Complete,No Programming Knowledge,Trainee,Unemployed and Looking for Work,Unemployed and Looking for Work,Own Business,Informal Worker,False,False,False,False,,FullStack PHP,2021-2,A Little,False
24,1098,25-34,Tertiary Complete,Junior,Junior,Employed,Employed,Informal Worker,Informal Worker,True,True,False,True,Free Tertiary Education,FullStack Python,2022-1,Neutral,True
25,1519,Under 25,University Incomplete,Junior,Junior,Employed,Employed,Informal Worker,Employee,False,False,False,True,Free Tertiary Education;Paid Annual Course;Other,FullStack JavaScript / Node.js,2020-2,Quite a Bit,True
26,2240,35-44,University Complete,Junior,Junior,Employed,Employed,Own Business,Own Business,False,True,True,False,,FullStack JavaScript / Node.js,2020-2,Neutral,True
27,854,Under 25,University Incomplete,Trainee,Trainee,Unemployed and Looking for Work,Unemployed and Looking for Work,Self-employed,Self-employed,False,False,False,True,Free Tertiary Education;Paid Quarterly Course;Paid Annual Course,Big Data,2021-1,Quite a Bit,False
28,1364,25-34,University Incomplete,Trainee,Trainee,Employed,Unemployed and Looking for Work,Employee,Own Business,False,False,False,True,Other,FullStack JavaScript / Node.js,2021-2,A Little,True
29,1763,35-44,Secondary Complete,Junior,Semi Senior,Unemployed and Not Looking for Work,Unemployed and Not Looking for Work,Employee,Own Business,False,False,False,False,,FullStack PHP,2020-2,A Little,True
30,2865,Under 25,Secondary Incomplete,Semi Senior,Junior,Employed,Employed,Employee,Self-employed,False,True,False,False,,FullStack PHP,2021-1,Quite a Bit,False
31,1543,25-34,University Complete,Trainee,Junior,Employed,Retired,Own Business,Employee,False,False,False,False,,Big Data,2022-1,A Little,True
32,234,25-34,University Complete,No Programming Knowledge,Trainee,Unemployed and Not Looking for Work,Unemployed and Looking for Work,Own Business,Informal Worker,False,False,False,False,,FullStack Java,2021-1,Quite a Bit,True
33,161,35-44,Postgraduate Complete,Trainee,Junior,Unemployed and Not Looking for Work,Unemployed and Looking for Work,Employee,Self-employed,False,False,False,True,Paid University Education,FullStack Python,2020-2,A Lot,True
34,942,25-34,University Complete,Trainee,Trainee,Employed,Employed,Self-employed,Own Business,False,True,True,True,Free University Education;Paid Quarterly Course,UX/UI Design,2020-2,Neutral,True
35,2682,35-44,Tertiary Complete,Trainee,Trainee,Employed,Unemployed and Looking for Work,Own Business,Employee,True,False,False,False,,FullStack JavaScript / Node.js,2022-1,Quite a Bit,True
36,1267,Under 25,University Incomplete,Junior,Junior,Unemployed and Not Looking for Work,Employed,Self-employed,Own Business,False,False,False,True,Free Quarterly Course;Paid University Education,FullStack Python,2022-1,Quite a Bit,False
37,6,35-44,Postgraduate Incomplete,Trainee,Trainee,Employed,Employed,Own Business,Self-employed,True,False,False,False,,FullStack Python,2022-1,Quite a Bit,True
38,40,25-34,Tertiary Complete,Trainee,Junior,Unemployed and Looking for Work,Unemployed and Looking for Work,Informal Worker,Self-employed,False,False,False,True,Paid Annual Course;Free Tertiary Education;Paid University Education,FullStack Python,2020-2,A Lot,True
39,2887,25-34,University Complete,Semi Senior,Semi Senior,Employed,Retired,Self-employed,Employee,False,False,False,False,,FullStack Java,2022-1,Neutral,True
40,2995,35-44,Secondary Complete,Junior,Junior,Employed,Employed,Own Business,Self-employed,False,False,False,False,,FullStack Python,2021-2,Not at All,False
41,2193,25-34,University Incomplete,Trainee,Trainee,Employed,Employed,Self-employed,Informal Worker,True,True,True,False,,Big Data,2022-1,Neutral,False
42,2184,25-34,Secondary Complete,Junior,Junior,Unemployed and Looking for Work,Employed,Informal Worker,Informal Worker,False,True,True,True,Free Quarterly Course;Paid Tertiary Education,UX/UI Design,2020-2,Neutral,True
43,358,25-34,Tertiary Complete,No Programming Knowledge,Trainee,Employed,Employed,Self-employed,Informal Worker,False,True,True,True,Paid Quarterly Course,FullStack JavaScript / Node.js,2021-1,Quite a Bit,False
44,318,25-34,University Incomplete,No Programming Knowledge,Trainee,Employed,Employed,Employee,Employee,False,False,False,True,Free Annual Course;Free Tertiary Education;Paid University Education,Big Data,2022-1,A Little,True
45,654,25-34,University Complete,Semi Senior,Semi Senior,Employed,Employed,Own Business,Own Business,False,False,False,False,,Big Data,2022-1,Not at All,True
46,2172,25-34,Postgraduate Incomplete,Trainee,Junior,Unemployed and Looking for Work,Employed,Informal Worker,Employee,False,False,False,True,Other;Paid University Education;Free Annual Course,Testing QA,2022-1,Quite a Bit,True
47,2830,45+,University Complete,No Programming Knowledge,Trainee,Employed,Employed,Employee,Informal Worker,True,False,False,True,Paid University Education;Paid Tertiary Education;Paid Quarterly Course,FullStack Python,2022-1,A Lot,True
48,1150,25-34,Tertiary Complete,No Programming Knowledge,Trainee,Employed,Employed,Self-employed,Employee,False,False,False,True,Paid Tertiary Education;Paid Annual Course,FullStack Python,2020-2,Neutral,True
49,424,25-34,University Incomplete,Semi Senior,Semi Senior,Employed,Employed,Self-employed,Employee,False,False,False,True,Free Tertiary Education,Big Data,2020-2,Quite a Bit,True
50,457,25-34,Tertiary Complete,No Programming Knowledge,Junior,Unemployed and Looking for Work,Unemployed and Looking for Work,Own Business,Informal Worker,False,False,False,True,Free University Education;Paid University Education,FullStack PHP,2020-2,A Lot,False
51,1103,45+,Postgraduate Complete,Junior,Junior,Unemployed and Not Looking for Work,Unemployed and Looking for Work,Self-employed,Self-employed,False,False,False,True,Free Quarterly Course;Paid University Education;Free University Education,FullStack Java,2020-2,A Little,False
52,1892,Under 25,University Incomplete,Junior,Junior,Unemployed and Not Looking for Work,Unemployed and Looking for Work,Self-employed,Own Business,False,False,False,False,,FullStack Java,2022-1,Quite a Bit,True
53,140,Under 25,Secondary Complete,Trainee,Junior,Unemployed and Looking for Work,Employed,Informal Worker,Self-employed,False,False,False,True,Free University Education;Free Annual Course;Other,FullStack JavaScript / Node.js,2021-2,Not at All,False
54,276,25-34,Tertiary Complete,No Programming Knowledge,Junior,Unemployed and Looking for Work,Employed,Self-employed,Informal Worker,False,True,False,False,,UX/UI Design,2020-2,Neutral,True
55,377,25-34,University Complete,No Programming Knowledge,Trainee,Employed,Unemployed and Not Looking for Work,Employee,Employee,False,False,False,True,Free Quarterly Course;Other,Big Data,2020-2,Quite a Bit,True
56,2103,25-34,Secondary Complete,No Programming Knowledge,Trainee,Retired,Unemployed and Not Looking for Work,Informal Worker,Own Business,False,False,False,False,,FullStack Python,2020-2,Not at All,False
57,324,45+,Tertiary Complete,Junior,Semi Senior,Employed,Employed,Employee,Self-employed,False,False,False,False,,FullStack Python,2022-1,A Lot,True
58,1582,Under 25,Secondary Complete,No Programming Knowledge,Trainee,Employed,Employed,Self-employed,Informal Worker,False,False,False,True,Free Quarterly Course;Paid University Education;Free Tertiary Education,FullStack Python,2020-2,Not at All,False
59,452,Under 25,University Incomplete,Junior,Trainee,Unemployed and Looking for Work,Unemployed and Looking for Work,Informal Worker,Employee,False,False,False,True,Free Tertiary Education;Paid Tertiary Education,FullStack Python,2020-2,A Lot,False
60,1667,25-34,Secondary Complete,No Programming Knowledge,Junior,Employed,Employed,Self-employed,Self-employed,False,False,False,False,,FullStack PHP,2021-1,Not at All,False
61,412,25-34,University Complete,Trainee,Junior,Unemployed and Looking for Work,Unemployed and Looking for Work,Self-employed,Self-employed,False,False,False,True,Paid Quarterly Course;Paid University Education;Paid Annual Course,FullStack Java,2020-2,Neutral,True
62,1827,35-44,University Complete,Junior,Trainee,Employed,Employed,Informal Worker,Employee,False,False,False,False,,FullStack Java,2022-1,Neutral,True
63,312,35-44,University Incomplete,Trainee,Trainee,Employed,Employed,Informal Worker,Self-employed,True,True,False,True,Paid Annual Course;Paid Tertiary Education;Paid University Education,Testing QA,2022-1,Quite a Bit,True
64,2545,25-34,Secondary Complete,Semi Senior,Senior,Unemployed and Not Looking for Work,Unemployed and Not Looking for Work,Own Business,Own Business,False,False,False,False,,FullStack PHP,2020-2,Quite a Bit,True
65,2293,45+,Tertiary Incomplete,No Programming Knowledge,Trainee,Employed,Employed,Self-employed,Informal Worker,True,False,False,False,,Testing QA,2021-2,Neutral,True
66,1008,25-34,Postgraduate Incomplete,Trainee,Trainee,Unemployed and Looking for Work,Employed,Informal Worker,Self-employed,False,False,False,False,,FullStack JavaScript / Node.js,2021-2,Neutral,True
67,1117,25-34,University Incomplete,No Programming Knowledge,Junior,Employed,Employed,Informal Worker,Own Business,False,True,False,True,Other;Free Annual Course;Free University Education,FullStack Java,2021-1,Neutral,True
68,2485,25-34,University Incomplete,Junior,Junior,Employed,Employed,Own Business,Informal Worker,False,True,True,False,,Testing QA,2021-1,A Lot,True
69,2309,Under 25,Tertiary Incomplete,Trainee,Junior,Employed,Employed,Self-employed,Self-employed,False,True,False,True,Other,Testing QA,2021-1,Not at All,True
70,823,25-34,University Complete,Semi Senior,Senior,Unemployed and Looking for Work,Unemployed and Not Looking for Work,Self-employed,Self-employed,False,False,False,True,Free Quarterly Course,FullStack Python,2021-1,A Little,True
71,293,35-44,University Complete,Trainee,Trainee,Employed,Employed,Own Business,Own Business,False,False,False,False,,Big Data,2022-1,A Lot,True
72,2068,35-44,Tertiary Incomplete,Junior,Junior,Employed,Employed,Self-employed,Employee,True,False,False,False,,FullStack JavaScript / Node.js,2021-2,Neutral,False
73,1252,35-44,Tertiary Complete,Junior,Junior,Unemployed and Looking for Work,Unemployed and Looking for Work,Informal Worker,Employee,False,False,False,True,Paid Annual Course,UX/UI Design,2020-2,A Lot,True
74,1588,35-44,Postgraduate Complete,Senior,Junior,Unemployed and Looking for Work,Employed,Own Business,Own Business,False,True,True,False,,FullStack JavaScript / Node.js,2020-2,A Little,True
75,1535,45+,Postgraduate Complete,Semi Senior,Semi Senior,Employed,Unemployed and Looking for Work,Informal Worker,Informal Worker,False,False,False,True,Free Quarterly Course,Big Data,2022-1,A Little,False
76,95,35-44,Secondary Complete,No Programming Knowledge,Trainee,Unemployed and Not Looking for Work,Retired,Informal Worker,Own Business,False,False,False,True,Other;Paid Tertiary Education,Big Data,2021-2,A Lot,True
77,2778,25-34,University Incomplete,Trainee,Trainee,Employed,Employed,Self-employed,Own Business,True,False,False,True,Free University Education;Free Annual Course;Paid Annual Course,FullStack Java,2021-1,Neutral,True
78,2469,25-34,University Complete,Junior,Junior,Employed,Employed,Informal Worker,Own Business,False,False,False,True,Paid Tertiary Education,FullStack JavaScript / Node.js,2022-1,A Little,True
79,2483,35-44,Postgraduate Complete,Senior,Senior,Unemployed and Looking for Work,Employed,Self-employed,Own Business,False,False,False,True,Paid Tertiary Education;Paid University Education;Free University Education,FullStack Java,2021-2,A Lot,False
80,1597,25-34,University Complete,Senior,Senior,Unemployed and Not Looking for Work,Unemployed and Not Looking for Work,Informal Worker,Employee,False,False,False,True,Paid Quarterly Course,Big Data,2021-1,Quite a Bit,True
81,2950,35-44,Secondary Complete,No Programming Knowledge,Trainee,Employed,Employed,Own Business,Self-employed,False,False,False,True,Other;Free Annual Course;Paid University Education,UX/UI Design,2022-1,Quite a Bit,True
82,927,Under 25,University Incomplete,No Programming Knowledge,Junior,Employed,Employed,Informal Worker,Informal Worker,False,False,False,False,,FullStack PHP,2020-2,Not at All,True
83,335,25-34,University Incomplete,No Programming Knowledge,Junior,Employed,Unemployed and Looking for Work,Informal Worker,Own Business,True,False,False,True,Free Annual Course;Free Quarterly Course;Free University Education,FullStack JavaScript / Node.js,2020-2,A Little,False
84,2525,Under 25,Secondary Complete,No Programming Knowledge,Trainee,Employed,Employed,Informal Worker,Own Business,False,False,False,True,Paid University Education,FullStack Python,2020-2,Not at All,True
85,795,45+,University Incomplete,Trainee,Trainee,Unemployed and Not Looking for Work,Unemployed and Not Looking for Work,Self-employed,Self-employed,False,False,False,True,Paid Quarterly Course,FullStack Python,2020-2,Neutral,False
86,2270,Under 25,Secondary Complete,Junior,Junior,Employed,Employed,Employee,Informal Worker,False,False,False,False,,Testing QA,2022-1,Not at All,True
87,2313,35-44,Postgraduate Complete,Semi Senior,Semi Senior,Employed,Employed,Informal Worker,Self-employed,True,True,True,False,,Big Data,2021-2,Quite a Bit,False
88,729,Under 25,Secondary Incomplete,Trainee,Semi Senior,Unemployed and Not Looking for Work,Unemployed and Not Looking for Work,Own Business,Informal Worker,False,False,False,True,Free Annual Course;Paid Annual Course;Free Quarterly Course,Big Data,2021-1,Neutral,True
89,775,25-34,University Incomplete,No Programming Knowledge,Junior,Unemployed and Looking for Work,Unemployed and Looking for Work,Informal Worker,Informal Worker,False,False,False,False,,FullStack PHP,2020-2,Quite a Bit,True
90,2990,35-44,University Complete,Trainee,Junior,Employed,Employed,Employee,Self-employed,True,False,False,True,Free Tertiary Education;Other;Paid Annual Course,Big Data,2022-1,Not at All,True
91,106,25-34,Secondary Complete,Trainee,Junior,Employed,Employed,Informal Worker,Self-employed,False,True,True,True,Free University Education;Paid Annual Course;Paid Tertiary Education,FullStack PHP,2020-2,Not at All,False
92,511,35-44,Secondary Complete,Trainee,Junior,Employed,Unemployed and Looking for Work,Own Business,Informal Worker,True,False,False,False,,FullStack Python,2022-1,Not at All,True
93,2758,35-44,University Incomplete,Trainee,Trainee,Unemployed and Looking for Work,Employed,Informal Worker,Self-employed,False,False,False,True,Other;Paid Annual Course,UX/UI Design,2022-1,Quite a Bit,False
94,2661,45+,University Complete,No Programming Knowledge,Trainee,Employed,Unemployed and Looking for Work,Employee,Own Business,False,False,False,True,Paid University Education,UX/UI Design,2020-2,Quite a Bit,True
95,2159,25-34,University Incomplete,Trainee,Junior,Employed,Employed,Informal Worker,Employee,True,False,False,False,,FullStack Python,2022-1,A Lot,True
96,275,25-34,Tertiary Complete,Senior,Senior,Retired,Unemployed and Looking for Work,Own Business,Employee,False,False,False,True,Paid Quarterly Course,UX/UI Design,2022-1,Neutral,False
97,922,Under 25,Tertiary Complete,No Programming Knowledge,Trainee,Unemployed and Looking for Work,Employed,Informal Worker,Informal Worker,False,True,False,True,Free Quarterly Course;Free University Education;Paid Tertiary Education,Big Data,2021-2,Neutral,True
98,379,Under 25,Secondary Complete,Senior,Senior,Employed,Employed,Employee,Employee,False,True,False,True,Free Quarterly Course,Testing QA,2022-1,Quite a Bit,True
99,1500,35-44,University Incomplete,No Programming Knowledge,Trainee,Unemployed and Not Looking for Work,Employed,Informal Worker,Employee,False,False,False,False,,FullStack Python,2021-2,Quite a Bit,True
100,123,35-44,Postgraduate Complete,Semi Senior,Semi Senior,Employed,Employed,Employee,Employee,True,False,False,True,Paid Tertiary Education;Free Quarterly Course,FullStack Python,2020-2,A Lot,True
101,2234,45+,Tertiary Complete,Trainee,Trainee,Unemployed and Not Looking for Work,Unemployed and Not Looking for Work,Self-employed,Own Business,False,False,False,True,Paid Quarterly Course;Free Quarterly Course;Free Annual Course,FullStack Java,2020-2,A Lot,True
102,1495,45+,Postgraduate Complete,Junior,Junior,Employed,Employed,Self-employed,Informal Worker,False,True,True,False,,UX/UI Design,2022-1,Quite a Bit,False
103,382,45+,University Incomplete,No Programming Knowledge,Trainee,Employed,Employed,Employee,Employee,False,True,True,True,Free Quarterly Course;Other;Paid Annual Course,FullStack JavaScript / Node.js,2021-2,Neutral,False
104,1114,25-34,University Complete,Semi Senior,Trainee,Unemployed and Looking for Work,Employed,Self-employed,Informal Worker,False,True,True,False,,Big Data,2020-2,Quite a Bit,False
105,1131,45+,Tertiary Complete,No Programming Knowledge,Senior,Employed,Employed,Self-employed,Informal Worker,False,False,False,False,,Testing QA,2022-1,A Little,True
106,1155,Under 25,Secondary Incomplete,Trainee,Junior,Employed,Unemployed and Looking for Work,Self-employed,Self-employed,True,False,False,True,Free Tertiary Education;Free Annual Course;Other,Testing QA,2020-2,A Little,True
107,2548,35-44,Secondary Incomplete,Semi Senior,Semi Senior,Unemployed and Looking for Work,Employed,Own Business,Informal Worker,False,True,False,True,Free Quarterly Course;Paid Tertiary Education;Paid Quarterly Course,Big Data,2021-2,Quite a Bit,True
108,1313,45+,University Complete,Semi Senior,Trainee,Employed,Employed,Own Business,Informal Worker,True,False,False,True,Paid Tertiary Education;Paid University Education;Free Annual Course,UX/UI Design,2021-1,A Little,False
109,497,Under 25,Secondary Complete,Trainee,Trainee,Unemployed and Looking for Work,Employed,Self-employed,Employee,False,True,True,False,,Big Data,2020-2,A Little,True
110,744,25-34,University Complete,Trainee,Trainee,Employed,Employed,Self-employed,Employee,False,True,True,True,Paid Quarterly Course;Other,FullStack JavaScript / Node.js,2021-2,A Lot,True
111,1784,45+,University Incomplete,Semi Senior,Junior,Unemployed and Looking for Work,Unemployed and Looking for Work,Employee,Informal Worker,False,False,False,True,Other;Paid Quarterly Course,Big Data,2021-1,Neutral,True
112,2014,35-44,University Complete,Trainee,Junior,Employed,Employed,Employee,Employee,False,True,True,True,Paid University Education;Other;Paid Quarterly Course,FullStack Python,2021-2,A Little,False
113,980,45+,Secondary Complete,Trainee,Trainee,Unemployed and Looking for Work,Unemployed and Looking for Work,Self-employed,Own Business,False,False,False,False,,FullStack PHP,2020-2,A Little,False
114,1152,25-34,Secondary Complete,No Programming Knowledge,Trainee,Employed,Employed,Informal Worker,Self-employed,True,False,False,True,Free Annual Course;Free Quarterly Course,FullStack Java,2022-1,Neutral,False
115,1943,Under 25,University Incomplete,No Programming Knowledge,Trainee,Employed,Employed,Employee,Employee,True,False,False,True,Free Annual Course,Testing QA,2021-1,Quite a Bit,False
116,2260,25-34,Postgraduate Complete,Trainee,Junior,Employed,Employed,Self-employed,Self-employed,True,False,False,True,Paid Annual Course,UX/UI Design,2022-1,A Little,True
117,613,25-34,University Complete,Trainee,Trainee,Unemployed and Not Looking for Work,Unemployed and Not Looking for Work,Employee,Own Business,False,False,False,True,Paid Annual Course;Free Quarterly Course,FullStack Java,2021-1,Quite a Bit,True
118,2620,25-34,Tertiary Complete,Junior,Junior,Unemployed and Looking for Work,Unemployed and Looking for Work,Employee,Self-employed,False,False,False,True,Paid Annual Course;Paid University Education;Other,UX/UI Design,2020-2,A Lot,True
119,448,Under 25,University Incomplete,Junior,Junior,Unemployed and Looking for Work,Employed,Own Business,Employee,False,False,False,False,,Big Data,2022-1,A Little,True
120,2608,35-44,University Complete,Trainee,Semi Senior,Employed,Employed,Own Business,Own Business,True,False,False,False,,FullStack JavaScript / Node.js,2022-1,A Lot,True
121,63,35-44,Postgraduate Complete,Junior,Trainee,Employed,Employed,Employee,Own Business,False,True,True,True,Free University Education;Paid University Education,FullStack Python,2021-2,Quite a Bit,True
122,1167,Under 25,University Incomplete,Trainee,Junior,Unemployed and Looking for Work,Employed,Employee,Own Business,False,True,True,False,,FullStack JavaScript / Node.js,2021-2,Not at All,True
123,2961,Under 25,Tertiary Complete,Junior,Junior,Unemployed and Looking for Work,Unemployed and Looking for Work,Own Business,Self-employed,False,False,False,True,Free Quarterly Course;Free Tertiary Education,Testing QA,2020-2,A Lot,True
124,564,Under 25,Tertiary Complete,No Programming Knowledge,Junior,Employed,Employed,Employee,Own Business,True,True,True,True,Paid Tertiary Education;Other;Free Annual Course,Big Data,2021-1,Not at All,True
125,444,35-44,Postgraduate Incomplete,Semi Senior,Semi Senior,Unemployed and Looking for Work,Employed,Own Business,Informal Worker,False,False,False,False,,FullStack PHP,2021-2,Quite a Bit,True
126,934,35-44,University Complete,No Programming Knowledge,Junior,Unemployed and Looking for Work,Unemployed and Not Looking for Work,Self-employed,Self-employed,False,False,False,True,Free Annual Course;Paid Tertiary Education,FullStack Java,2021-1,Quite a Bit,False
127,2,45+,Secondary Incomplete,Semi Senior,Trainee,Unemployed and Looking for Work,Employed,Informal Worker,Informal Worker,False,False,False,True,Other;Paid University Education;Paid Annual Course,FullStack Python,2020-2,A Little,False
128,2133,25-34,Tertiary Incomplete,No Programming Knowledge,Junior,Unemployed and Looking for Work,Employed,Informal Worker,Own Business,False,False,False,True,Free Tertiary Education;Paid Tertiary Education;Paid Quarterly Course,FullStack Java,2020-2,Not at All,True
129,634,25-34,Secondary Complete,No Programming Knowledge,Junior,Unemployed and Looking for Work,Employed,Employee,Employee,False,False,False,True,Free Annual Course;Paid Quarterly Course,FullStack Java,2021-2,Neutral,False
130,1242,45+,Tertiary Complete,No Programming Knowledge,Trainee,Employed,Employed,Own Business,Own Business,False,False,False,False,,UX/UI Design,2020-2,Quite a Bit,True
131,2371,Under 25,Secondary Complete,No Programming Knowledge,Trainee,Employed,Unemployed and Looking for Work,Informal Worker,Employee,True,False,False,True,Paid Quarterly Course;Free Tertiary Education;Other,FullStack Java,2020-2,Not at All,False
132,1347,35-44,Tertiary Complete,Trainee,Junior,Employed,Unemployed and Looking for Work,Informal Worker,Self-employed,False,False,False,False,,FullStack Python,2021-2,Neutral,True
133,1806,25-34,Secondary Incomplete,Junior,Junior,Unemployed and Looking for Work,Employed,Employee,Own Business,False,False,False,False,,FullStack JavaScript / Node.js,2020-2,Not at All,False
134,743,45+,Tertiary Complete,Junior,Trainee,Employed,Employed,Informal Worker,Self-employed,False,True,False,True,Paid Annual Course,Big Data,2020-2,Quite a Bit,False
135,2623,35-44,Secondary Complete,Junior,Junior,Unemployed and Looking for Work,Unemployed and Looking for Work,Self-employed,Employee,False,False,False,False,,UX/UI Design,2021-1,Neutral,True
136,2783,25-34,Tertiary Complete,No Programming Knowledge,Junior,Employed,Unemployed and Looking for Work,Employee,Employee,False,False,False,True,Free University Education;Paid Tertiary Education,Testing QA,2020-2,Quite a Bit,True
137,2844,35-44,Tertiary Complete,No Programming Knowledge,Trainee,Unemployed and Looking for Work,Employed,Employee,Employee,False,True,True,True,Paid Tertiary Education,FullStack PHP,2022-1,A Lot,True
138,2110,35-44,Secondary Complete,Junior,Senior,Employed,Employed,Informal Worker,Self-employed,False,False,False,False,,FullStack Java,2021-2,Not at All,False
139,684,Under 25,Secondary Incomplete,No Programming Knowledge,Trainee,Unemployed and Looking for Work,Unemployed and Looking for Work,Employee,Self-employed,False,False,False,False,,FullStack Python,2021-1,A Lot,True
140,525,25-34,Secondary Complete,No Programming Knowledge,Junior,Employed,Employed,Informal Worker,Self-employed,False,True,False,True,Paid University Education;Paid Annual Course;Free Annual Course,Testing QA,2020-2,Not at All,True
141,615,Under 25,Tertiary Incomplete,No Programming Knowledge,Junior,Unemployed and Looking for Work,Employed,Informal Worker,Informal Worker,False,False,False,False,,Testing QA,2022-1,A Little,False
142,2958,35-44,Tertiary Complete,No Programming Knowledge,Trainee,Employed,Employed,Own Business,Employee,True,True,True,True,Paid University Education,FullStack JavaScript / Node.js,2022-1,Neutral,True
143,214,25-34,Secondary Complete,No Programming Knowledge,Semi Senior,Unemployed and Looking for Work,Unemployed and Looking for Work,Employee,Own Business,False,False,False,False,,Big Data,2021-2,A Lot,True
144,2500,25-34,University Incomplete,No Programming Knowledge,Trainee,Unemployed and Looking for Work,Unemployed and Looking for Work,Self-employed,Employee,False,False,False,False,,Big Data,2021-1,Not at All,True
145,1886,35-44,Tertiary Incomplete,Trainee,Junior,Unemployed and Not Looking for Work,Unemployed and Not Looking for Work,Informal Worker,Self-employed,False,False,False,True,Free University Education;Paid University Education,FullStack JavaScript / Node.js,2020-2,A Lot,False
146,1548,45+,Secondary Complete,No Programming Knowledge,Trainee,Retired,Unemployed and Not Looking for Work,Informal Worker,Self-employed,False,False,False,True,Other;Free Quarterly Course;Paid Tertiary Education,Big Data,2021-1,Quite a Bit,False
